Problem,Method,Seed,Period,Error,Success Rate
SLSTR,PushGP+EP+RRM,1003,Train,0.0,True
SLSTR,PushGP+EP+RRM,1003,Test,0.0,True
SLSTR,PushGP+EP+RRM,1004,Train,25.0,False
SLSTR,PushGP+EP+RRM,1004,Test,110.0,False
SLSTR,PushGP+EP+RRM,1005,Train,0.0,True
SLSTR,PushGP+EP+RRM,1005,Test,0.0,True
SLSTR,PushGP+EP+RRM,1006,Train,40.0,False
SLSTR,PushGP+EP+RRM,1006,Test,200.0,False
SLSTR,PushGP+EP+RRM,1007,Train,5.0,False
SLSTR,PushGP+EP+RRM,1007,Test,410.0,False
SLSTR,PushGP+EP+RRM,1008,Train,0.0,True
SLSTR,PushGP+EP+RRM,1008,Test,0.0,True
SLSTR,PushGP+EP+RRM,1009,Train,0.0,True
SLSTR,PushGP+EP+RRM,1009,Test,0.0,True
SLSTR,PushGP+EP+RRM,1010,Train,60.0,False
SLSTR,PushGP+EP+RRM,1010,Test,1478.0,False
SLSTR,PushGP+EP+RRM,1011,Train,65.0,False
SLSTR,PushGP+EP+RRM,1011,Test,411.0,False
SLSTR,PushGP+EP+RRM,1012,Train,25.0,False
SLSTR,PushGP+EP+RRM,1012,Test,521.0,False
SLSTR,PushGP+EP+RRM,1013,Train,0.0,True
SLSTR,PushGP+EP+RRM,1013,Test,23.0,False
SLSTR,PushGP+EP+RRM,1014,Train,0.0,True
SLSTR,PushGP+EP+RRM,1014,Test,85.0,False
SLSTR,PushGP+EP+RRM,1015,Train,0.0,True
SLSTR,PushGP+EP+RRM,1015,Test,1040.0,False
SLSTR,PushGP+EP+RRM,1016,Train,0.0,True
SLSTR,PushGP+EP+RRM,1016,Test,253.0,False
SLSTR,PushGP+EP+RRM,1017,Train,0.0,True
SLSTR,PushGP+EP+RRM,1017,Test,0.0,True
SLSTR,PushGP+EP+RRM,1018,Train,0.0,True
SLSTR,PushGP+EP+RRM,1018,Test,105.0,False
SLSTR,PushGP+EP+RRM,1019,Train,45.0,False
SLSTR,PushGP+EP+RRM,1019,Test,375.0,False
SLSTR,PushGP+EP+RRM,1020,Train,40.0,False
SLSTR,PushGP+EP+RRM,1020,Test,1018.0,False
SLSTR,PushGP+EP+RRM,1021,Train,70.0,False
SLSTR,PushGP+EP+RRM,1021,Test,445.0,False
SLSTR,PushGP+EP+RRM,1022,Train,0.0,True
SLSTR,PushGP+EP+RRM,1022,Test,55.0,False
SLSTR,PushGP+EP+RRM,1023,Train,60.0,False
SLSTR,PushGP+EP+RRM,1023,Test,750.0,False
SLSTR,PushGP+EP+RRM,1024,Train,50.0,False
SLSTR,PushGP+EP+RRM,1024,Test,495.0,False
SLSTR,PushGP+EP+RRM,1025,Train,25.0,False
SLSTR,PushGP+EP+RRM,1025,Test,570.0,False
SLSTR,PushGP+HP+ARM,1001,Train,10.0,False
SLSTR,PushGP+HP+ARM,1001,Test,55.0,False
SLSTR,PushGP+HP+ARM,1002,Train,0.0,True
SLSTR,PushGP+HP+ARM,1002,Test,0.0,True
SLSTR,PushGP+HP+ARM,1003,Train,0.0,True
SLSTR,PushGP+HP+ARM,1003,Test,15.0,False
SLSTR,PushGP+HP+ARM,1004,Train,4.0,False
SLSTR,PushGP+HP+ARM,1004,Test,430.0,False
SLSTR,PushGP+HP+ARM,1005,Train,25.0,False
SLSTR,PushGP+HP+ARM,1005,Test,465.0,False
SLSTR,PushGP+HP+ARM,1006,Train,0.0,True
SLSTR,PushGP+HP+ARM,1006,Test,0.0,True
SLSTR,PushGP+HP+ARM,1007,Train,0.0,True
SLSTR,PushGP+HP+ARM,1007,Test,5.0,False
SLSTR,PushGP+HP+ARM,1008,Train,0.0,True
SLSTR,PushGP+HP+ARM,1008,Test,0.0,True
SLSTR,PushGP+HP+ARM,1009,Train,0.0,True
SLSTR,PushGP+HP+ARM,1009,Test,0.0,True
SLSTR,PushGP+HP+ARM,1010,Train,5.0,False
SLSTR,PushGP+HP+ARM,1010,Test,5.0,False
SLSTR,PushGP+HP+ARM,1011,Train,0.0,True
SLSTR,PushGP+HP+ARM,1011,Test,0.0,True
SLSTR,PushGP+HP+ARM,1012,Train,0.0,True
SLSTR,PushGP+HP+ARM,1012,Test,245.0,False
SLSTR,PushGP+HP+ARM,1013,Train,0.0,True
SLSTR,PushGP+HP+ARM,1013,Test,0.0,True
SLSTR,PushGP+HP+ARM,1014,Train,50.0,False
SLSTR,PushGP+HP+ARM,1014,Test,510.0,False
SLSTR,PushGP+HP+ARM,1015,Train,35.0,False
SLSTR,PushGP+HP+ARM,1015,Test,745.0,False
SLSTR,PushGP+HP+ARM,1016,Train,0.0,True
SLSTR,PushGP+HP+ARM,1016,Test,620.0,False
SLSTR,PushGP+HP+ARM,1017,Train,25.0,False
SLSTR,PushGP+HP+ARM,1017,Test,550.0,False
SLSTR,PushGP+HP+ARM,1018,Train,0.0,True
SLSTR,PushGP+HP+ARM,1018,Test,142.0,False
SLSTR,PushGP+HP+ARM,1019,Train,15.0,False
SLSTR,PushGP+HP+ARM,1019,Test,105.0,False
SLSTR,PushGP+HP+ARM,1020,Train,15.0,False
SLSTR,PushGP+HP+ARM,1020,Test,425.0,False
SLSTR,PushGP+HP+ARM,1021,Train,0.0,True
SLSTR,PushGP+HP+ARM,1021,Test,0.0,True
SLSTR,PushGP+HP+ARM,1022,Train,0.0,True
SLSTR,PushGP+HP+ARM,1022,Test,0.0,True
SLSTR,PushGP+HP+ARM,1023,Train,0.0,True
SLSTR,PushGP+HP+ARM,1023,Test,5.0,False
SLSTR,PushGP+HP+ARM,1024,Train,10.0,False
SLSTR,PushGP+HP+ARM,1024,Test,585.0,False
SLSTR,PushGP+HP+ARM,1025,Train,0.0,True
SLSTR,PushGP+HP+ARM,1025,Test,50.0,False
MDSLEN,PushGP+EP+ARM,1001,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1001,Test,0.0,True
MDSLEN,PushGP+EP+ARM,1002,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1002,Test,10.0,False
MDSLEN,PushGP+EP+ARM,1003,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1003,Test,3.0,False
MDSLEN,PushGP+EP+ARM,1004,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1004,Test,0.0,True
MDSLEN,PushGP+EP+ARM,1005,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1005,Test,9.0,False
MDSLEN,PushGP+EP+ARM,1006,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1006,Test,43.0,False
MDSLEN,PushGP+EP+ARM,1007,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1007,Test,0.0,True
MDSLEN,PushGP+EP+ARM,1008,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1008,Test,0.0,True
MDSLEN,PushGP+EP+ARM,1009,Train,3.0,False
MDSLEN,PushGP+EP+ARM,1009,Test,378.0,False
MDSLEN,PushGP+EP+ARM,1010,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1010,Test,0.0,True
MDSLEN,PushGP+EP+ARM,1011,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1011,Test,63.0,False
MDSLEN,PushGP+EP+ARM,1012,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1012,Test,0.0,True
MDSLEN,PushGP+EP+ARM,1013,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1013,Test,124.0,False
MDSLEN,PushGP+EP+ARM,1014,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1014,Test,0.0,True
MDSLEN,PushGP+EP+ARM,1015,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1015,Test,0.0,True
MDSLEN,PushGP+EP+ARM,1016,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1016,Test,60.0,False
MDSLEN,PushGP+EP+ARM,1017,Train,0.0,True
